problem,grid,noise,sigma,seed,method,coefficient_error,coefficient_linf,support_valid,support_exact,tp,fp,fn,precision,recall,f1,tpr,optimizer_success,status,iterations,fit_seconds,total_seconds,w,selected_terms,strong_error,selected_strong
signal,129,0.2,0.05545831616196606,0,WENDy HT,36.53869595222885,39116.531701720305,True,False,0,3,3,0.0,0.0,0.0,0.0,True,IRLS step tolerance,7,0.11934400000609457,0.15936408302513883,"[0.0, 0.0, 0.0, 0.0, 0.0, -36.87324561317684, -39.11553170172031, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -33.35221891476933, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5, 6, 13]",1.0,"[5, 6, 13]"
signal,129,0.2,0.05545831616196606,0,WENDy L1=0.0001,6.209136344387071,9741.87645766633,True,False,0,3,3,0.0,0.0,0.0,0.0,True,IRLS step tolerance,9,0.13137504196492955,0.1713951249839738,"[-0.14246867721555745, -1.1828077202114105, 3.880921382074504, -0.702915113409946, -9.740876457666332, 0.0, 0.0, 0.0, -0.28353055195045607, -1.0038278679436416, -0.05898766823372756, 0.21205153987595174, 2.0308292010841114, 0.0, 0.0, 0.7859755452864612, 0.5748463991116971, 0.21487033263429942, -0.49913621219972054, -0.4816872407199315, 0.0]","[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19]",0.16252157021691502,"[2, 4, 12]"
signal,129,0.2,0.05545831616196606,0,WENDy-MLE HT,36.383049690466756,40046.660727010254,True,False,0,3,3,0.0,0.0,0.0,0.0,True,Optimization terminated successfully.,5,0.16250299999956042,0.20252308301860467,"[0.0, 0.0, 0.0, 0.0, 0.0, -39.78067451481022, -40.04566072701026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -27.96117835525748, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5, 6, 13]",1.0,"[5, 6, 13]"
signal,129,0.2,0.05545831616196606,0,WENDy-MLE L1=0.0001,6.764467180281215,10697.020456994396,True,False,0,3,3,0.0,0.0,0.0,0.0,False,L1 KKT residual 0.000212: CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,117,0.37666154198814183,0.4166816250071861,"[-0.14684559966239058, -1.1720853195907917, 4.075531559852922, -1.1961893694287045, -10.696020456994397, 0.0, 0.0, 0.0, -0.3123327997562311, -0.9968832776762143, -2.6164370766444784e-08, 0.1751566832505243, 1.878707734606234, 0.0, 0.0, 0.7571374677058978, 0.610292889043165, 0.13685432154494837, -0.6190773400372329, -0.5229382504304999, 0.0]","[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19]",0.17185777139737024,"[2, 4, 12]"
signal,129,0.5,0.13864579040491515,0,WSINDy,0.2714445824154581,1.0,True,True,3,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,3,0.003330416977405548,0.043359458970371634,"[0.0, -1.351765166110316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.2760851351245805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8548451552399565, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 9, 15]",0.27143548213322477,"[1, 9, 15]"
signal,129,0.5,0.13864579040491515,0,WENDy HT,62.0633258304748,73778.98304794921,True,False,0,3,3,0.0,0.0,0.0,0.0,True,IRLS step tolerance,10,0.12718800001312047,0.16721704200608656,"[0.0, 0.0, 0.0, 0.0, 0.0, -55.43407198641187, -73.7779830479492, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -55.101135261652175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5, 6, 13]",1.0,"[5, 6, 13]"
signal,129,0.5,0.13864579040491515,0,WENDy L1=0.0001,28.852048924669162,31964.567841697026,True,False,0,3,3,0.0,0.0,0.0,0.0,True,IRLS step tolerance,11,0.13013524998677894,0.17016429197974503,"[-0.6940209494485248, -1.5866791154883146, 14.867130288216721, -0.7147576183294316, -31.963567841697024, 0.0, 0.0, 0.0, 0.7577774640011075, -3.6103210728635577, -13.191398818559653, 7.0679074370107156, 25.015659857718525, 0.0, 0.0, -0.0551101716953762, 0.43358046690530855, 5.123816961394778, 6.656628250348348, -10.28843187797144, -14.7789465122696]","[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20]",1.660444314272614,"[2, 4, 12]"
signal,129,0.5,0.13864579040491515,0,WENDy-MLE HT,33.38911314140121,50125.9936585319,True,False,0,3,3,0.0,0.0,0.0,0.0,True,Optimization terminated successfully.,9,0.19325395894702524,0.23328300093999133,"[0.0, 0.0, 18.41873226450202, 0.0, -50.124993658531906, -22.127903077464957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 4, 5]",1.0,"[2, 4, 5]"
signal,129,0.5,0.13864579040491515,0,WENDy-MLE L1=0.0001,21.06097791013824,30524.824763877674,True,False,0,3,3,0.0,0.0,0.0,0.0,False,L1 KKT residual 1.07e-08: CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,278,0.7075648330501281,0.7475938750430942,"[-0.5831273221886565, -1.0856137846303717, 13.13346395645109, -4.00056174904804, -30.523824763877673, 0.0, 0.0, 0.0, 0.026383914882463947, -2.4669356528913133, -5.324531504182727, 5.149902698984748, 10.509758701321463, -2.7550750722030704, 0.0, 0.3274241531117972, 0.9188531508058317, 1.5108050194483271, 0.9529229268889714, -3.450585924534024, -4.31929908532977]","[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20]",0.933021650277524,"[2, 4, 12]"
signal,129,1.0,0.2772915808098303,0,WSINDy,3.2456203990931694,3086.621426739076,True,False,0,3,3,0.0,0.0,0.0,0.0,True,MSTLS support stable,3,0.003296166018117219,0.04347683204105124,"[0.0, -1.9811099007051627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5175958574591789, -1.2904277309125698, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5944287904299902, 3.087621426739076, 2.7233480207366743, -3.024303780466697, -1.6845379900038797]","[1, 8, 9, 16, 17, 18, 19, 20]",0.8260195526629941,"[17, 18, 19]"
signal,129,1.0,0.2772915808098303,0,WENDy HT,87.8799903607453,104845.14510311448,True,False,0,3,3,0.0,0.0,0.0,0.0,True,IRLS step tolerance,27,0.13451591704506427,0.1746965830679983,"[0.0, 0.0, 0.0, 0.0, -104.84414510311449, 77.01539257685509, 79.00783865984172, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 6]",1.0,"[4, 5, 6]"
signal,129,1.0,0.2772915808098303,0,WENDy L1=0.0001,37.14755280204067,32344.255275090956,True,False,0,3,3,0.0,0.0,0.0,0.0,False,IRLS iteration limit,1000,1.7925275000161491,1.8327081660390832,"[-0.9934548970562034, 3.2113981767152966, 13.553429094201269, -32.168986659136756, -27.782227712521664, 32.345255275090956, 18.469345038125113, 0.0, -2.314139031947963, -6.92935604982936, 11.796264022621802, 17.17362737898675, -12.113560455375751, -10.916135748207736, 0.0, 0.22087767244583847, 0.618734601044317, 1.0394495229805638, 0.38258406656670607, -0.8057833369253341, 0.22485359659597437]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20]",4.222959837593469,"[3, 4, 5]"
signal,129,1.0,0.2772915808098303,0,WENDy-MLE HT,42.36190744319067,60019.047744598014,True,False,0,3,3,0.0,0.0,0.0,0.0,True,Optimization terminated successfully.,10,0.19630795798730105,0.23648862401023507,"[0.0, 0.0, 26.720882898807805, 0.0, -60.018047744598015, 0.0, 32.62589956890679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 4, 6]",1.0,"[2, 4, 6]"
signal,129,1.0,0.2772915808098303,0,WENDy-MLE L1=0.0001,33.67115373509789,43271.35591347025,True,False,0,3,3,0.0,0.0,0.0,0.0,False,L1 KKT residual 1.5e-08: CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,429,1.0320552909979597,1.0722359570208937,"[-1.2835109297920417, 0.889949697670666, 20.705745287814146, -16.87106464433337, -43.270355913470254, 16.406450232895985, 22.48826203106307, 0.0, -0.951968845466975, -2.655033848359505, 2.8376419421001717, 3.3216861618761184, -2.864465422590886, -1.529972564319608, 0.0, 0.4321600679815463, 0.9404038002821432, -0.14052816240419147, -0.8635842140785074, -0.056540833309959806, 0.45452880549993335]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20]",1.4869979923025942,"[2, 4, 6]"
