problem,grid,noise,sigma,seed,method,coefficient_error,strong_error,support_valid,support_exact,tp,fp,fn,precision,recall,f1,tpr,optimizer_success,status,iterations,fit_seconds,total_seconds,w,selected_terms,selected_strong
1D,32768,0.2,0.0297504969101722,0,WENDy HT,0.002419793423241247,0.002419793423241247,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,3,0.0007486250251531601,0.005100250011309981,"[-1.004126120006119, -0.9998300861607222, 0.9992841343591063]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.2,0.0297504969101722,0,WENDy L1=0.0001,0.001775558302937315,0.001775558302937315,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,4,0.001107625022996217,0.005459250009153038,"[-1.0029667680674565, -0.9993428394279447, 0.9995264505539598]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.2,0.0297504969101722,0,WENDy-MLE HT,0.0024204997054218425,0.0024204997054218425,True,True,3,0,0,1.0,1.0,1.0,1.0,True,Optimization terminated successfully.,2,0.0012004590244032443,0.0055520840105600655,"[-1.0041271991619924, -0.9998299106598891, 0.9992832342324921]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.2,0.0297504969101722,0,WENDy-MLE L1=0.0001,0.0017762328279251481,0.0017762328279251481,True,True,3,0,0,1.0,1.0,1.0,1.0,True,L1 KKT tolerance,28,0.004052540985867381,0.008404165972024202,"[-1.0029678016412764, -0.9993426634288877, 0.9995255832767364]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.5,0.07437624227543049,0,WSINDy,0.8369688741806954,0.8369688741806954,True,False,1,0,2,1.0,0.3333333333333333,0.5,0.3333333333333333,True,MSTLS support stable,2,0.001084375020582229,0.005431792000308633,"[0.0, 0.0, 1.3186701885051406]",[2],[2]
1D,32768,0.5,0.07437624227543049,0,WENDy HT,0.006055906515981126,0.006055906515981126,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,3,0.0007692499784752727,0.005116666958201677,"[-1.0103264006907668, -0.9995773059986803, 0.9982086904941115]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.5,0.07437624227543049,0,WENDy L1=0.0001,0.0053927056344369095,0.0053927056344369095,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,4,0.0011820829822681844,0.005529499961994588,"[-1.0091660334133026, -0.999089592469406, 0.9984511902074428]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.5,0.07437624227543049,0,WENDy-MLE HT,0.006060329355670879,0.006060329355670879,True,True,3,0,0,1.0,1.0,1.0,1.0,True,Optimization terminated successfully.,2,0.0011708340025506914,0.005518250982277095,"[-1.0103331580604833, -0.9995762054755394, 0.9982030530348046]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.5,0.07437624227543049,0,WENDy-MLE L1=0.0001,0.0053970667979474,0.0053970667979474,True,True,3,0,0,1.0,1.0,1.0,1.0,True,L1 KKT tolerance,27,0.0033779169898480177,0.007725333969574422,"[-1.009172677838386, -0.9990884809291456, 0.9984456177043054]","[0, 1, 2]","[0, 1, 2]"
1D,32768,1,0.14875248455086099,0,WSINDy,0.8370696032540601,0.8370696032540601,True,False,1,0,2,1.0,0.3333333333333333,0.5,0.3333333333333333,True,MSTLS support stable,2,0.0010777920251712203,0.005424042057711631,"[0.0, 0.0, 1.3194629275451668]",[2],[2]
1D,32768,1,0.14875248455086099,0,WENDy HT,0.01213328209404258,0.01213328209404258,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,3,0.0007385000353679061,0.005084750067908317,"[-1.0206899023765807, -0.9991616136291582, 0.99641187360011]","[0, 1, 2]","[0, 1, 2]"
1D,32768,1,0.14875248455086099,0,WENDy L1=0.0001,0.011464263548223884,0.011464263548223884,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,4,0.0011198330321349204,0.005466083064675331,"[-1.0195278326302832, -0.9986731194477705, 0.9966546813495326]","[0, 1, 2]","[0, 1, 2]"
1D,32768,1,0.14875248455086099,0,WENDy-MLE HT,0.012151030744226458,0.012151030744226458,True,True,3,0,0,1.0,1.0,1.0,1.0,True,Optimization terminated successfully.,2,0.0011558330152183771,0.005502083047758788,"[-1.0207170163209238, -0.9991571871388588, 0.9963892458293203]","[0, 1, 2]","[0, 1, 2]"
1D,32768,1,0.14875248455086099,0,WENDy-MLE L1=0.0001,0.011481878960523424,0.011481878960523424,True,True,3,0,0,1.0,1.0,1.0,1.0,True,L1 KKT tolerance,35,0.005056832975242287,0.009403083007782698,"[-1.019554693212786, -0.9986686697987895, 0.996632186667658]","[0, 1, 2]","[0, 1, 2]"
5D,8×8×8×8×8,0,0.0,0,WSINDy,0.0027764327573527535,0.001307143874091354,True,True,3,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,2,0.0022603750112466514,0.03931062499759719,"[-1.0022317588677694, -0.9996676250337615, 0.0, 0.0, 0.0, 0.0, 0.9998138426453929, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0,0.0,0,WENDy HT,0.002449482394347017,2.326695234146039e-13,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,1,0.0001056670444086194,0.037155917030759156,"[-0.9999999999997954, -0.9999999999997398, 0.0, 0.0, 0.0, 0.0, 0.9999999999997702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0,0.0,0,WENDy L1=0.0001,0.0009212011754062466,0.00036204541951093475,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,2,0.0016833749832585454,0.03873362496960908,"[-1.000205423413864, -0.9994381391775135, 0.0007664372598394728, 0.000719614937763582, 0.0007664372598413867, 0.0007196149377629344, 0.9998119992166034, 0.0004832556889301011, 0.00042319130844259325, 0.00048325568892985, 0.0004231913084408345, 0.000901127038052628, 0.0006841344521685659, 0.0006474162456028855, 0.0006841344521661926, 0.0009011254575361859, 0.0006841344521684572, 0.0006474162440454062, 0.0009011270380532353, 0.0006841344521710267, 0.0009011254575366251]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[0, 1, 6]"
5D,8×8×8×8×8,0,0.0,0,WENDy-MLE HT,0.002449482394347017,2.326695234146039e-13,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,1,0.00010374997509643435,0.03715399996144697,"[-0.9999999999997954, -0.9999999999997398, 0.0, 0.0, 0.0, 0.0, 0.9999999999997702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0,0.0,0,WENDy-MLE L1=0.0001,0.0009212011754062466,0.00036204541951093475,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,2,0.0015909590292721987,0.038641209015622735,"[-1.000205423413864, -0.9994381391775135, 0.0007664372598394728, 0.000719614937763582, 0.0007664372598413867, 0.0007196149377629344, 0.9998119992166034, 0.0004832556889301011, 0.00042319130844259325, 0.00048325568892985, 0.0004231913084408345, 0.000901127038052628, 0.0006841344521685659, 0.0006474162456028855, 0.0006841344521661926, 0.0009011254575361859, 0.0006841344521684572, 0.0006474162440454062, 0.0009011270380532353, 0.0006841344521710267, 0.0009011254575366251]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[0, 1, 6]"
5D,8×8×8×8×8,0.01,0.002225094150915313,0,WSINDy,0.002800600098654937,0.0013577216109171724,True,True,3,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,3,0.0024522499879822135,0.03951612499076873,"[-1.0023129564652093, -0.9997702229838291, 0.0, 0.0, 0.0, 0.0, 0.9996427062397124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0.01,0.002225094150915313,0,WENDy HT,0.0024517803255654667,0.00010612649146418136,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,2,0.014129874994978309,0.051193749997764826,"[-1.0000592245756454, -1.0001306932212437, 0.0, 0.0, 0.0, 0.0, 0.9998851077542562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0.01,0.002225094150915313,0,WENDy L1=0.0001,0.0010204529188657188,0.00035881990539911735,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,3,0.0171054580132477,0.054169333016034216,"[-1.0002725436230753, -0.9995410995602028, 0.0006524430247435692, 0.0007777513631447397, 0.000607152962675778, 0.0008242246490428017, 0.9996815890494867, 0.0001635475875822243, 0.0003356591296406831, 0.0004863840218006623, 0.0004656511810867702, 0.0010139866602370243, 0.000831224356583474, 0.0005350069265950962, 0.0008617635770920675, 0.0009113687616300493, 0.0009022503308081002, 0.000417037107551604, 0.000964164677244048, 0.0010708568953919915, 0.0007461916085171866]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[0, 1, 6]"
5D,8×8×8×8×8,0.01,0.002225094150915313,0,WENDy-MLE HT,0.0024517804552073334,0.00010612948648272609,True,True,3,0,0,1.0,1.0,1.0,1.0,False,A bad approximation caused failure to predict improvement.,1,0.0394714999711141,0.07653537497390062,"[-1.0000592281326617, -1.0001306901680997, 0.0, 0.0, 0.0, 0.0, 0.9998850978156573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0.01,0.002225094150915313,0,WENDy-MLE L1=0.0001,0.0010204145380630658,0.00035880593822970423,True,True,3,0,0,1.0,1.0,1.0,1.0,True,L1 KKT tolerance,74,0.21282924996921793,0.24989312497200444,"[-1.0002725372814012, -0.9995411149415176, 0.00065243615557935, 0.0007777463614579524, 0.0006071459654110107, 0.0008242212194639923, 0.9996816086727394, 0.0001635938107149562, 0.0003357080761663545, 0.00048639343133575114, 0.0004656801924928734, 0.0010139916278888038, 0.0008312497187242259, 0.000535027871767999, 0.0008617817239262305, 0.0009113718375427663, 0.0009022621872678744, 0.0004170394960135933, 0.0009641700143570711, 0.001070878584772043, 0.0007461910672372451]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[0, 1, 6]"
5D,8×8×8×8×8,0.05,0.011125470754576566,0,WSINDy,0.0029481991860334025,0.0016407103924211187,True,True,3,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,4,0.002862791996449232,0.040017833991441876,"[-1.0026377532470863, -1.0001804263073968, 0.0, 0.0, 0.0, 0.0, 0.9989581286401474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0.05,0.011125470754576566,0,WENDy HT,0.0025062643158197573,0.0005304700829607663,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,2,0.014993874996434897,0.05214891699142754,"[-1.0002959817027746, -1.0006533105852453, 0.0, 0.0, 0.0, 0.0, 0.9994257390509722, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0.05,0.011125470754576566,0,WENDy L1=0.0001,0.001931515630231421,0.0005706857686643283,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,3,0.01719849999062717,0.05435354198561981,"[-1.000551317368228, -1.00006362978438, 0.0002099004336897856, 0.0010299368583636334, 0.0, 0.0012621940560279665, 0.9991820469758612, 0.0, 0.0, 0.0003824396803783264, 0.0006266722182961121, 0.0014576220964854104, 0.001312422751695485, 3.674952501253634e-05, 0.0014650151004214722, 0.0009443960908114546, 0.0016672147170864189, 0.0, 0.0012084433763875897, 0.0025103319556150526, 0.00011870002363864827]","[0, 1, 2, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20]","[0, 1, 6]"
5D,8×8×8×8×8,0.05,0.011125470754576566,0,WENDy-MLE HT,0.002506280130316328,0.0005305447957137847,True,True,3,0,0,1.0,1.0,1.0,1.0,True,Optimization terminated successfully.,2,0.039193541975691915,0.07634858397068456,"[-1.0002960704690342, -1.0006532342308678, 0.0, 0.0, 0.0, 0.0, 0.9994254909419641, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0.05,0.011125470754576566,0,WENDy-MLE L1=0.0001,0.0019315538123296058,0.0005708023790070841,True,True,3,0,0,1.0,1.0,1.0,1.0,True,L1 KKT tolerance,51,0.13139950000913814,0.16855454200413078,"[-1.0005513771258827, -1.0000635652196554, 0.0002098942108808358, 0.0010299234785333096, 0.0, 0.0012622009894492014, 0.9991818381605428, 0.0, 0.0, 0.0003824823959886698, 0.0006267430939998969, 0.0014575998702211317, 0.0013124368636834446, 3.6736425818263044e-05, 0.0014650179651653102, 0.0009443732900000668, 0.0016671697210452281, 0.0, 0.0012084290192671027, 0.002510376427162485, 0.00011867224817965469]","[0, 1, 2, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20]","[0, 1, 6]"
5D,8×8×8×8×8,0.1,0.022250941509153133,0,WSINDy,0.0032324060599834554,0.002109149503309661,True,True,3,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,3,0.0034571249852888286,0.04059458401752636,"[-1.0030437633341935, -1.0006927558720125, 0.0, 0.0, 0.0, 0.0, 0.9981023359229976, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0.1,0.022250941509153133,0,WENDy HT,0.0026692112374599544,0.0010605335347429073,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,2,0.015075374976731837,0.05221283400896937,"[-1.0005916099671304, -1.0013062316769785, 0.0, 0.0, 0.0, 0.0, 0.9988519797093288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0.1,0.022250941509153133,0,WENDy L1=0.0001,0.0031957623411428926,0.0009675884816103772,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,3,0.017249417025595903,0.05438687605783343,"[-1.0005293844971503, -1.0007159825532599, 0.0, 0.0013458254388687549, -0.000306788476381042, 0.0018099843960822563, 0.9985802100694682, 0.0, 0.0, 0.00020464677648809586, 0.0, 0.002100491994284662, 0.0018873405177591365, 0.0, 0.0021925260898272656, 0.0010737613672441712, 0.0025960371799684866, 0.0, 0.0016020461375934397, 0.004282768763774659, -0.00026564583975408057]","[0, 1, 3, 4, 5, 6, 9, 11, 12, 14, 15, 16, 18, 19, 20]","[0, 1, 6]"
5D,8×8×8×8×8,0.1,0.022250941509153133,0,WENDy-MLE HT,0.0026693299077074992,0.001060832177167844,True,True,3,0,0,1.0,1.0,1.0,1.0,True,Optimization terminated successfully.,2,0.03948587499326095,0.07662333402549848,"[-1.0005919647292272, -1.0013059260534658, 0.0, 0.0, 0.0, 0.0, 0.9988509875428986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0.1,0.022250941509153133,0,WENDy-MLE L1=0.0001,0.003195889384651374,0.0009680135605650929,True,True,3,0,0,1.0,1.0,1.0,1.0,True,L1 KKT tolerance,57,0.14962058304809034,0.18675804208032787,"[-1.0005296686072371, -1.000715698230259, 0.0, 0.0013458000978414013, -0.0003067976532096189, 0.0018099970548130118, 0.9985793037023961, 0.0, 0.0, 0.00020475977473256675, 0.0, 0.0021003764909285905, 0.0018873683472821303, 0.0, 0.0021924712276578146, 0.0010736416467160951, 0.0025958748058555864, 0.0, 0.0016019419675433542, 0.004282892042991093, -0.00026576754729333807]","[0, 1, 3, 4, 5, 6, 9, 11, 12, 14, 15, 16, 18, 19, 20]","[0, 1, 6]"
5D,8×8×8×8×8,0.2,0.044501883018306265,0,WSINDy,0.00403485208037073,0.0032062640238539153,True,True,3,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,2,0.0032679580035619438,0.040404749976005405,"[-1.0038558288142876, -1.0017159964295865, 0.0, 0.0, 0.0, 0.0, 0.9963905225612929, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0.2,0.044501883018306265,0,WENDy HT,0.003239127293283641,0.0021194359093326563,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,3,0.015256708022207022,0.05239349999465048,"[-1.0011818028543027, -1.0026109007868755, 0.0, 0.0, 0.0, 0.0, 0.9977059719234584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0.2,0.044501883018306265,0,WENDy L1=0.0001,0.006626421928501802,0.0021924153401095005,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,4,0.018583917000796646,0.05572070897324011,"[-1.0014412112620916, -1.0020204134679007, -0.0009688848785473633, 0.001978316026721308, -0.0018747740138437888, 0.0029055437055603246, 0.9971258227981928, -0.000637738209565652, 0.0, 0.0, 0.0, 0.0031071872925102217, 0.0031238301030840337, 0.0, 0.003733027962567883, 0.0010519958971893532, 0.004537857280729283, -0.0017072678561297783, 0.0021099642339017064, 0.007912012235782032, -0.001936190402705153]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 14, 15, 16, 17, 18, 19, 20]","[0, 1, 6]"
5D,8×8×8×8×8,0.2,0.044501883018306265,0,WENDy-MLE HT,0.003239907957497417,0.00212062881124362,True,True,3,0,0,1.0,1.0,1.0,1.0,True,Optimization terminated successfully.,2,0.03955962503096089,0.07669641700340435,"[-1.0011832194775558, -1.0026096766530979, 0.0, 0.0, 0.0, 0.0, 0.9977020054178832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
5D,8×8×8×8×8,0.2,0.044501883018306265,0,WENDy-MLE L1=0.0001,0.0066268990272969125,0.0021939379690795904,True,True,3,0,0,1.0,1.0,1.0,1.0,True,L1 KKT tolerance,59,0.1562476659892127,0.19338445796165615,"[-1.0014423934408794, -1.0020192298295185, -0.0009689030025188811, 0.0019782488712820428, -0.0018747822089188856, 0.002905611625148942, 0.9971221008541302, -0.0006373758622292193, 0.0, 0.0, 0.0, 0.00310673727936822, 0.00312389715883352, 0.0, 0.0037329282092459773, 0.001051505617394699, 0.004537241944862127, -0.0017072153661095836, 0.0021095148621387873, 0.007912337311520395, -0.001936739127286784]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 14, 15, 16, 17, 18, 19, 20]","[0, 1, 6]"
5D,8×8×8×8×8,0.5,0.11125470754576566,0,WSINDy,0.007231636291368032,0.00680418086399913,True,True,3,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,2,0.0029182499856688082,0.04001850093482062,"[-1.0062923549439058, -1.0047743077117093, 0.0, 0.0, 0.0, 0.0, 0.9912534071305534, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 6]","[0, 1, 6]"
